DATE,GDP,CASES
2020-01-01,0.89609455258535, -5.7
2020-02-01,0.743773721544048, -2.5
2020-03-01,-10.4851217326526, 13.7
2020-04-01,-13.2481352569166,25.2
2020-05-01,-14.6674461208102,3.1
2020-06-01,-11.064216539634,2.8
2020-07-01,-7.50742146730269,1.8
2020-08-01,-4.00050313672986,7.6
2020-09-01,-4.08313568887146,8
2020-10-01,-4.15092101895482,17.3
2020-11-01,-4.20467880866196,40
2020-12-01,-4.34723421077827,29.7
